,OBJECTID,COD_SIG,NOME_ESCOLA,MORADA,TIPOLOGIA,FREGUESIA12,TELEFONE,COD_POSTAL,SITE,BLOGUE,AGRUPAMENTO,IDTIPO,ID_CARACT_ESCOLA,MORADA_DEJ,COD_DESENHO,UIT_MACRO,UIT_MICRO,EMAIL,SITUACAO,PROPRIEDADE,CRIADOPOR,MODIFICADO,NOME_LABEL,GlobalID,geometry
29,46,0202631086001,Escola Básica Raúl Lino,"Calçada da Tapada, EB1 Raul Lino",EB01,Alcântara,213634321,1300-551,https://sites.google.com/site/escolabasica1raullino/,,Francisco de Arruda,2,64,Calçada da Tapada,782,Unidade de Intervenção Territorial Ocidental,Unidade de Intervenção Territorial Ocidental - Ajuda/Alcântara,eb1raullino@gmail.com;carla.grosso@aefarruda.pt,Existente,Propriedade Municipal,Ana Cremilde Mendes Guerra Cazaux Afonso,1665573757000,EB Raúl Lino,45b39af1-bce9-451a-86bb-ecb72de6162f,POINT (-9.18004769767977 38.7066791096939)
30,48,0203502001001,Escola Básica de Santo Amaro,"Rua Jau, EB1 Santo Amaro",EB01,Alcântara,213646097,1300-312,https://www.facebook.com/EB-JISanto-Amaro,,Francisco de Arruda,2,65,Rua Filinto Elísio,973,Unidade de Intervenção Territorial Ocidental,Unidade de Intervenção Territorial Ocidental - Ajuda/Alcântara,dulce.pinho@aefarruda.pt,Existente,Propriedade Municipal,Ana Cremilde Mendes Guerra Cazaux Afonso,1665573680000,EB de Santo Amaro,92dc1d98-de9a-4b9e-9a72-c58c12009a11,POINT (-9.18535787303158 38.7036889650246)
31,50,1200104015001,Escola Básica do Castelo,"Rua de Santa Cruz do Castelo, 29-31 (Escola Básica nº 10)",EB01,Santa Maria Maior,218860326,1100-245,aegv.site,,Gil Vicente,2,96,"Rua das Flores de Santa Cruz ao Castelo, n.º 14",79,Unidade de Intervenção Territorial Centro Histórico,Unidade de Intervenção Territorial Centro Histórico - Baixa,coordenacao.castelo@aegv.pt,Existente,Propriedade Municipal,Ana Cremilde Mendes Guerra Cazaux Afonso,1665573917000,EB do Castelo,7a63f8e3-b98e-4f45-b17c-c4ad9e9ccb39,POINT (-9.13281926501618 38.7132210156893)
32,52,0703001034001,Escola Básica Engenheiro Duarte Pacheco,"Rua da Fábrica de Estamparia, Escola Básica nº 28",EB01,Beato,218490430,1900-133,http://agrupamentoolaias.edu.pt/,http://2468vivaaescola28.blogspot.com/,Olaias,2,162,"Rua Fábrica de Estamparia, 40",367,Unidade de Intervenção Territorial Oriental,Unidade de Intervenção Territorial Oriental - Marvila/Beato,ebengenheiro.duartepacheco@gmail.com,Existente,Propriedade Municipal,Ana Cremilde Mendes Guerra Cazaux Afonso,1665676974000,EB Eng.º Duarte Pacheco,03efacef-70ad-4d42-8a6e-c0117e01e23c,POINT (-9.12073685331583 38.7351291551251)
33,53,4100501067001,Escola Básica Actor Vale,"Rua Actor Vale, Escola Básica nº 142",EB01,Penha de França,933140187,1900-024,http://agrupamentoolaias.edu.pt/,,Olaias,2,159,Rua Actor Vale,237,Unidade de Intervenção Territorial Centro Histórico,Unidade de Intervenção Territorial Centro Histórico - Graça/Pen. França,atorvale.eb1@gmail.com,Existente,,Ana Cremilde Mendes Guerra Cazaux Afonso,1665675872000,EB Actor Vale,5c295daf-e59b-49ae-a227-850fa32b03f8,POINT (-9.13013711467873 38.7352714508015)
34,54,2106602010001,Escola Básica do Bairro do Armador,"Rua Gilberto Freyre, Jardim de Infância",EB01,Marvila,218371345,1950-357,http://agrupamentoolaias.edu.pt/,,Olaias,2,160,Rua Gilberto Freyre,551,Unidade de Intervenção Territorial Oriental,Unidade de Intervenção Territorial Oriental - Marvila/Beato,escolabairrodoarmador@gmail.com,Existente,Propriedade Municipal,Ana Cremilde Mendes Guerra Cazaux Afonso,1665677323000,EB do Bairro do Armador,482006ce-2bd8-49b6-820f-fc093dbf9b66,POINT (-9.1206568524002 38.7446038306865)
35,58,3001101138001,Escola Básica Rainha Santa Isabel,"Travessa de Santa Quitéria, 7 (Escola Básica nº 165)",EB01,Campo de Ourique,213955414,1250-209,e-josefadeobidos.edu.pt,,Padre Bartolomeu de Gusmão,2,53,"Travessa de Santa Quitéria, n.º 7",561,Unidade de Intervenção Territorial Centro Histórico,Unidade de Intervenção Territorial Centro Histórico - Campo Ourique/Lapa,diretor@e-josefadeobidos.edu.pt;geral@e-josefadeobidos.edu.pt,Existente,Propriedade Municipal,Ana Cremilde Mendes Guerra Cazaux Afonso,1665587560000,EB Rainha Santa Isabel,f1274516-5d4f-4a16-a953-4dc0251451d8,POINT (-9.1555767618125 38.716883406964)
36,59,3503002130001,Escola Básica Engenheiro Ressano Garcia,"Rua Professor Gomes Teixeira, Escola Básica nº 41",EB01,Campo de Ourique,213951347,1350-229,e-josefadeobidos.edu.pt,,Padre Bartolomeu de Gusmão,2,50,Rua Professor Gomes Teixeira,1010,Unidade de Intervenção Territorial Centro Histórico,Unidade de Intervenção Territorial Centro Histórico - Campo Ourique/Lapa,diretor@e-josefadeobidos.edu.pt;geral@e-josefadeobidos.edu.pt,Existente,Propriedade Municipal,Ana Cremilde Mendes Guerra Cazaux Afonso,1665587521000,EB Eng.º Ressano Garcia,4631f8d1-e135-49f0-b5cf-6ce1f9370e50,POINT (-9.16562056983248 38.7137358844673)
37,62,4103305005001,Escola Básica Professor Oliveira Marques,"Calçada das Lajes, 2",EB01,Penha de França,218122111,1900-029,http://www.aepp.pt/,,Patrício Prazeres,2,94,"Calçada das Lages,36",492,Unidade de Intervenção Territorial Centro Histórico,Unidade de Intervenção Territorial Centro Histórico - Graça/Pen. França,diretor@aepp.pt,Existente,,Ana Cremilde Mendes Guerra Cazaux Afonso,1665588032000,EB Professor Oliveira Marques,abe44853-67f4-4114-9de9-f836da7dc154,POINT (-9.11648283070746 38.7218908709401)
38,63,2901703128001,Escola Básica Rosa Lobato Faria,"Rua do Barão de Monte Pedral, Escola Básica nº 21",EB01,São Vicente,218140564,1170-039,http://www.aepp.pt/,,Patrício Prazeres,2,95,Rua Barão de Monte Pedral,428,Unidade de Intervenção Territorial Centro Histórico,Unidade de Intervenção Territorial Centro Histórico - Graça/Pen. França,diretor@aepp.pt,Existente,Propriedade Municipal,Ana Cremilde Mendes Guerra Cazaux Afonso,1665588064000,EB Rosa Lobato Faria,0d30e193-c364-4b1c-a119-b51a1b7d4f2c,POINT (-9.12020321983801 38.7204671725733)
39,64,3907102009001,Escola Básica Frei Luis de Sousa,"Rua Raul Carapinha, Escola Básica nº 49",EB01,São Domingos de Benfica,217269610,1500-542,ael.edu.pt,http://bloguedafreiluisdesousa.blogspot.com/,Laranjeiras,2,75,"Rua Raul Carapinha,",590,Unidade de Intervenção Territorial Norte,Unidade de Intervenção Territorial Norte - Carnide/Benfica,escolafreiluisdesousa@ael.edu.pt,Existente,Propriedade Municipal,Ana Cremilde Mendes Guerra Cazaux Afonso,1665575433000,EB Frei Luis de Sousa,695f2d25-d089-429a-8913-0e5fb11d8d34,POINT (-9.17193672473235 38.7409263473436)
40,65,3902502097001,Escola Básica António Nobre,"Rua António Nobre, Escola Básica nº 110",EB01,São Domingos de Benfica,217781679,1500-046,ael.edu.pt,,Laranjeiras,2,74,"Rua António Nobre, n.º 49",2,Unidade de Intervenção Territorial Norte,Unidade de Intervenção Territorial Norte - Carnide/Benfica, escolaantonionobre@ael.edu.pt  ,Existente,Propriedade Municipal,Ana Cremilde Mendes Guerra Cazaux Afonso,1665575732000,EB António Nobre,3b0a0e0f-129a-488e-a82a-e5621fed051c,POINT (-9.17798492794034 38.7460095508708)
41,66,3904812016001,Escola Básica de Laranjeiras,"Rua Virgílio Correia, Escola Básica nº 120",EB01,São Domingos de Benfica,217271260,1600-224,ael.edu.pt,,Laranjeiras,2,76,"Rua Vírgílio Correia, n.º 30",979,Unidade de Intervenção Territorial Norte,Unidade de Intervenção Territorial Norte - Carnide/Benfica,escoladaslaranjeiras@ael.edu.pt  ,Existente,Propriedade Municipal,Ana Cremilde Mendes Guerra Cazaux Afonso,1665575786000,EB de Laranjeiras,a4ebcaaf-4d99-4f57-b072-50cccca46d48,POINT (-9.17355782052701 38.7553685486147)
42,69,2103202001001,Escola Básica do Condado,"Rua Engº Cunha Leal, Escola Básica nº 54",EB01,Marvila,21 837 013 22,1900-678,http://aelaverney.pt/,http://escola54.blogspot.com/,Luis António Verney,2,149,Rua Engenheiro Cunha Leal - Bairro do Condado,723,Unidade de Intervenção Territorial Oriental,Unidade de Intervenção Territorial Oriental - Marvila/Beato,eb54ji3@gmail.com,Existente,Propriedade Municipal,Ana Cremilde Mendes Guerra Cazaux Afonso,1665677185000,EB do Condado,f5387a33-ace2-4f1f-9ae6-e1d28ba981c4,POINT (-9.1117396428509 38.7450323805168)
43,70,0702801080002,Escola Básica do Beato,"Rua do Grilo, 74",EB01,Beato,21 861 01 00,1900-336,http://aelaverney.pt/,,Luis António Verney,2,148,"Rua do Grilo, n.º 74",682,Unidade de Intervenção Territorial Oriental,Unidade de Intervenção Territorial Oriental - Marvila/Beato,eb1beato@gmail.com,Existente,Propriedade particular - Ministério da Administração Interna.,Ana Cremilde Mendes Guerra Cazaux Afonso,1665677211000,EB do Beato,e1f9c83a-dcbf-4c39-beb5-e0c8f8dd0dc7,POINT (-9.10691011524315 38.7320472635217)
44,71,0702105022001,Escola Básica do Bairro Madre de Deus,"Rua José da Bateira, Escola Básica nº 138",EB01,Beato,21 868 33 18,1100-957,http://aelaverney.pt/,,Luis António Verney,2,150,Rua José da Bateira,971,Unidade de Intervenção Territorial Oriental,Unidade de Intervenção Territorial Oriental - Marvila/Beato,eb1madrededeus@gmail.com,Existente,Propriedade Municipal,Ana Cremilde Mendes Guerra Cazaux Afonso,1665677304000,EB do Bairro Madre de Deus,ee547886-7114-432e-a0ec-111870c0964b,POINT (-9.11501162467813 38.7333954944145)
