,geometry,OBJECTID,COD_SIG,IDTIPO,NOME,MORADA,ATORTIPOCODIGO,EMAIL,SITE,REDESOCIAL,GlobalID
12,POINT (-9.32753566514463 38.7644751805603),1180,,,Academia da Força Aérea,Granja do Marquês - Pêro Pinheiro,10101,gabcmd@academiafa.edu.pt,http://www.academiafa.edu.pt/,https://www.facebook.com/academiaforcaaerea/,54f423c6-834f-4f11-9198-7ac50797237c
13,POINT (-9.1632165511274 38.7194702651027),1181,3000401097001,,Escola de Serviço de Saúde Militar,"Travessa de Cima dos Quartéis, 1-9",10101,director@netcabo.pt,htpp//www.exercito.pt,http://www.facebook.com/pages/Escola-do-Servi%C3%A7o-de-Sa%C3%BAde-Militar/127315840667216,dfde307f-47f6-4b8b-a32b-68e56c036b2b
14,POINT (-9.15239233973898 38.7071917999826),1264,4900413005001,,"ue | Universidade Europeia - IADE (Faculdade de Design, Tecnologia e Comunicação)","Avenida Dom Carlos I, 4 (Campus de Santos)",10101,admissions@iade.pt,http://www.iade.europeia.pt/,www.facebook.com/pages/IADE-Lisboa/110540102299653,0b05b9f0-9102-44bf-ab77-b37dc4c0428f
15,POINT (-9.15207302279146 38.6597050956065),1266,,,Escola Naval ,"Base Naval de Lisboa, Alfeite - Almada",10101,escnaval-escolanaval.geral@marinha.pt,http://escolanaval.marinha.pt/pt,www.facebook.com/MarinhaPortuguesa,a01b7251-9c94-4365-8924-fd65c553a2d8
16,POINT (-9.14053876054456 38.7088854184181),1428,2000109028001,,ULisboa | ba - Faculdade de Belas-Artes,"Largo da Academia Nacional de Belas Artes, S/N",10101,academicos@belasartes.ulisboa.pt,www.belasartes.ulisboa.pt,http://www.facebook.com/fbaul,379b4c69-503c-42cd-971f-8260a9bdf806
17,POINT (-9.15693334865303 38.7560311707636),1429,0902002138001,,ULisboa | Ciências - Faculdade de Ciências,"Campo Grande, Faculdade de Ciência-Edif C5",10101,info@ciencias.ulisboa.pt,www.ciencias.ulisboa.pt,http://www.facebook.com/fac.ciencias.ul,621033b9-60e5-406e-b161-76239199c330
18,POINT (-9.15676060442052 38.7518311892882),1430,0902010032001,,ULisboa | FD - Faculdade de Direito,Alameda da Universidade,10101,secretariadodir@fd.ulisboa.pt,www.fd.ulisboa.pt,http://www.facebook.com/pages/Faculdade-de-Direito-da-Universidade-de-Lisboa/159907947451867,15ccff21-d7a3-4d14-be11-b5d9f754e1c7
19,POINT (-9.15449593272463 38.7477522143611),1431,0902010199001,,ULisboa | FF - Faculdade de Farmácia,"Avenida das Forças Armadas, Fac Farmácia (Pav A)",10101,geral@ff.ulisboa.pt,www.ff.ulisboa.pt,http://www.facebook.com/pages/Faculdade-de-Farm%C3%A1cia-da-Universidade-de-Lisboa/108293332586923,201c0f5b-a401-4740-a639-e8dd170df0f0
20,POINT (-9.15823432747504 38.7542411692494),1432,0902004001001,,ULisboa | FLUL - LETRAS LISBOA - Faculdade de Letras,"Alameda da Universidade, Fac Letras",10101,info@letras.ulisboa.pt,www.letras.ulisboa.pt,http://www.facebook.com/pages/FLUL-Faculdade-de-Letras-da-Universidade-de-Lisboa/173659925982110,67698b3f-1f66-4c0a-b634-481f9050c28f
21,POINT (-9.160545017168 38.7480419598536),1433,0902012074001,,ULisboa | MEDICINA - Faculdade de Medicina,"Avenida Professor Egas Moniz, Hospital de Santa Maria",10101,fmul@medicina.ulisboa.pt,www.medicina.ulisboa.pt,http://www.facebook.com/pages/Faculdade-Medicina-Universidade-Lisboa/192131797512618,837e357c-b1b0-4416-9f18-c86ce71f7b0c
22,POINT (-9.15558991634899 38.7502571380295),1434,0902010046001,,ULisboa | FMD - Faculdade de Medicina Dentária,"Avenida Professor Gama Pinto, Fac. Medicina Dentária",10101,geral@fmd.ulisboa.pt,www.fmd.ulisboa.pt,http://www.facebook.com/pages/Faculdade-de-Medicina-Dent%C3%A1ria-da-Universidade-de-Lisboa/154670837922070,b7b57533-bce1-4021-8fa2-aa990355a790
23,POINT (-9.15531802416027 38.7524442622792),1435,0902010056001,,ULisboa | Psicologia - Faculdade de Psicologia,"Alameda da Universidade, Fac. Psic. E Ciências da Ed.",10101,geral@psicologia.ulisboa.pt,http://www.psicologia.ulisboa.pt/,http://www.facebook.com/pages/Lisboa-Portugal/Faculdade-de-Psicologia-da-Universidade-de-Lisboa/80587943203,f0fe955d-60bc-49af-9f56-7b0795ff586b
24,POINT (-9.1532507419767 38.749311378692),1436,0902010207004,,ULisboa | ICS - Instituto Ciências Sociais,"Avenida Professor Aníbal de Bettencourt, ISCTE (Edifício II)",10101,instituto.ciencias.sociais@ics.ulisboa.pt ,www.ics.ulisboa.pt,http://www.facebook.com/pages/Instituto-De-Ci%C3%AAncias-Sociais/283071915047494,e2531e87-67e2-4e9b-a86c-50e5b7b82014
25,POINT (-9.15531802416027 38.7524442622792),1437,0902010056001,,ULisboa | IE - Instituto de Educação,"Alameda da Universidade, Fac. Psic. E Ciências da Ed.",10101,geral@ie.ulisboa.pt,www.ie.ulisboa.pt,http://www.facebook.com/pages/Instituto-de-Educa%C3%A7%C3%A3o-da-Universidade-de-Lisboa/152918194270,9643ee65-9087-44b5-85f3-2c5405ea7b94
26,POINT (-9.15512406980559 38.7493492202913),1438,0902010054001,,ULisboa | IGOT - Instituto de Geografia e Ordenamento do Território,"Rua Branca Edmée Marques, IGOT/ Rua Prof.ª Teresa Ambrósio, IGOT",10101,igot@ulisboa.pt,www.igot.ulisboa.pt,http://www.facebook.com/pages/Universidade-de-Lisboa-Instituto-de-Geografia-e-Ordenamento-do-Territ%C3%B3rio/198369446842648,54d7701a-0a77-49a2-bbcd-d672a2e4d2c1
27,POINT (-9.13942788589791 38.7197732801317),1440,2400701067001,,UNL | NOVA Medical School - Faculdade de Ciências Médicas,"Campo dos Mártires da Pátria, 130 (Faculdade)",10101,geral@fcm.unl.pt,http://www.nms.unl.pt/,http://www.facebook.com/pages/Faculdade-de-Ci%C3%AAncias-M%C3%A9dicas-Universidade-Nova-de-Lisboa/267037056643122,b701e99a-c778-42f5-97dc-a8ee8a3f960a
28,POINT (-9.15079076396164 38.7405150916368),1441,2303302112001,,UNL | NOVA FCSH - Faculdade de Ciências Sociais e Humanas,"Avenida de Berna, 26C (Edif 1)",10101,geral@fcsh.unl.pt,http://fcsh.unl.pt/,http://www.facebook.com/pages/Universidade-Nova-de-Lisboa-Faculdade-de-Ci%C3%AAncias-Sociais-e-Humanas/108632319183977,66c67205-144b-43bd-b246-15953a53a2e0
29,POINT (-9.16131255301811 38.7332767554068),1442,1003201501001,,UNL | NOVA Faculdade de Direito,Travessa de Estêvão Pinto,10101,sacademicos@fd.unl.pt,http://www.fd.unl.pt,http://www.facebook.com/pages/Faculdade-de-Direito-da-Universidade-Nova-de-Lisboa/314236131986272,bc0a4ff4-d473-478c-91b9-693e7f3e9a36
30,POINT (-9.32853266665092 38.6814447870358),1443,1003201142001,,UNL | NOVA SBE - School of Business and Economics/ Faculdade de Economia,"Rua da Holanda, 1 - Carcavelos",10101,infonova@novasbe.pt,https://www2.novasbe.unl.pt/pt/,http://www.facebook.com/pages/Faculdade-de-economia-da-universidade-nova-de-lisboa/173686492675081,b9a0ca08-95fd-4d4e-ade8-0c06ce21f31f
31,POINT (-9.16033336240894 38.732568036068),1444,1003201142001,,UNL | NOVA IMS - Information Management School/ Instituto Superior de Estatística e Gestão de Informação,"Avenida Ressano Garcia, Fac. Econ. e I.S.E.G.I.",10101,adnovaims@novaims.unl.pt,http://www.novaims.unl.pt/,http://www.facebook.com/pages/Universidade-Nova-de-Lisboa-Instituto-Superior-de-Estat%C3%ADstica-e-Gest%C3%A3o-de-Informa%C3%A7%C3%A3o/329715157118378,359e2649-5270-4517-af3a-4189d220ee93
32,POINT (-9.16314248862551 38.7643323242631),1445,1803604010001,,UNL | NOVA Escola Nacional de Saúde Pública,"Avenida Padre Cruz, Escola Nacional de Saúde Pública",10101,academicos@ensp.unl.pt,http://www.ensp.unl.pt/,http://pt-br.facebook.com/pages/Escola-Nacional-de-Sa%C3%BAde-P%C3%BAblica/120570044622120,1ed7e793-ba3d-4360-862c-f948a166cee9
33,POINT (-9.18650032992957 38.7001832445343),1446,0202402120001,,UNL | NOVA IHMT - Instituto de Higiene e Medicina Tropical,"Rua da Junqueira, 100",10101,secensino@ihmt.unl.pt,www.ihmt.unl.pt,http://www.facebook.com/IHMT.NOVA,1531dc36-b774-41a1-9275-5dfd050fd19a
34,POINT (-9.19072985969697 38.6615779518898),1447,,,UNL | FCT NOVA - Faculdade de Ciências e Tecnologia,"Monte da Caparica, Caparica",10101,div.cre.coordenador@fct.unl.pt,http://www.fct.unl.pt,http://www.facebook.com/pages/FCTUNL-Faculdade-de-Ci%C3%AAncias-e-Tecnologia-Universidade-Nova-de-Lisboa/158920367515137,0b13c1a5-a1d6-417f-bc22-246cc0cfb941
35,POINT (-9.19427865602351 38.7128725888872),1449,0102907003002,,ULisboa | FA - Faculdade de Arquitectura,"Avenida da Universidade Técnica, Fac Arq (Edif 2)",10101,d_academica@fa.ulisboa.pt,www.fa.ulisboa.pt,http://www.facebook.com/pages/Faculdade-de-Arquitectura-da-Universidade-Tecnica-de-Lisboa/106208922751434,89f86882-f0e2-44fe-a6a7-9413b8835bda
36,POINT (-9.19441531582935 38.714212771739),1450,0102903001002,,ULisboa | FMV - Faculdade de Medicina Veterinária,"Avenida da Universidade Técnica, Fac Veterinária (Edif C)",10101,cg@fmv.ulisboa.pt,www.fmv.ulisboa.pt,http://www.facebook.com/pages/Universidade-T%C3%A9cnica-de-Lisboa-Faculdade-de-Medicina-Veterin%C3%A1ria/132984940057880,3789fa7c-30df-4d07-8c91-8f367b91ea61
37,POINT (-9.25154947764305 38.7052237369609),1451,,,ULisboa | FMH - Faculdade de Motricidade Humana,"Estrada da Costa, Dafundo - Cruz Quebrada",10101,fmh@fmh.ulisboa.pt,www.fmh.ulisboa.pt,http://www.facebook.com/fmotricidadehumana,545a1637-c904-422a-ae27-cd59fdddd871
38,POINT (-9.18237432111722 38.7076611753993),1452,0202631079001,,ULisboa | ISA - Instituto Superior de Agronomia,"Calçada da Tapada, ISA (Edif Principal)",10101,cgisa@isa.ulisboa.pt,www.isa.ulisboa.pt,http://www.facebook.com/pages/Instituto-Superior-de-Agronomia/205838582784715?rf=111842122168954,bc34b3e8-dda6-4df4-9815-7d9cc5c49c3b
39,POINT (-9.19737560964361 38.7131679586603),1453,0102904005001,,ULisboa | ISCSP - Instituto Superior de Ciências Sociais e Políticas,"Avenida da Universidade Técnica, ISCSP",10101,geral@iscsp.ulisboa.pt,www.iscsp.ulisboa.pt,http://www.facebook.com/ISCSP.UTL,65c17366-2eba-40e3-84bb-ab5ab4bdd548
40,POINT (-9.1553320962692 38.709838001531),1454,1702601002009,,ULisboa | ISEG - LISBON SCHOOL OF ECONOMICS & MANAGEMENT,"Rua do Quelhas, 6",10101,seclic@iseg.ulisboa.pt  ,www.iseg.ulisboa.pt,http://www.facebook.com/iseg.pt,834088e6-8eaa-4c07-afeb-0a84a90efbd2
41,POINT (-9.13931766351085 38.7364144606565),1455,4302510028001,,ULisboa | TÉCNICO - Instituto Superior Técnico - Campus da Alameda,"Avenida de António José de Almeida, IST (Pavilhão Central)",10101,mail@tecnico.ulisboa.pt,www.tecnico.ulisboa.pt,http://www.facebook.com/pages/Instituto-Superior-T%C3%A9cnico/253571472881,4f815277-a3d7-4791-b318-ebdedf5f7408
42,POINT (-9.15315532741879 38.7486480636364),1458,0902010207003,,ISCTE-IUL (IBS - ISCTE Business School),"Avenida das Forças Armadas, ISCTE (INDEG)",10101,ibs@iscte.pt,http://ibs.iscte-iul.pt/,http://www.facebook.com/pages/ISCTE-Business-School/59333888867,733820dd-c679-4ca9-ac6a-b935e7a4246d
43,POINT (-9.15315532741879 38.7486480636364),1459,0902010207003,,ISCTE-IUL (ESPP - Escola de Sociologia e Políticas Públicas),"Avenida das Forças Armadas, ISCTE (INDEG)",10101,geral@iscte.pt,https://www.iscte-iul.pt,http://iscte-iul.pt/cursos/licenciaturas/www.facebook.com/Ugo.iscteiul,49beaad2-e653-4beb-815b-b7316f58183a
44,POINT (-9.15315532741879 38.7486480636364),1460,0902010207003,,ISCTE-IUL (ECSH - Escola de Ciências Sociais e Humanas),"Avenida das Forças Armadas, ISCTE (INDEG)",10101,geral@iscte.pt,https://www.iscte-iul.pt,http://iscte-iul.pt/cursos/licenciaturas/www.facebook.com/Ugo.iscteiul,a1b658ae-d94e-40c4-a3b6-bcebeb15616e
45,POINT (-9.15315532741879 38.7486480636364),1461,0902010207003,,ISCTE-IUL (ISTA - Escola de Tecnologias e Arquitectura),"Avenida das Forças Armadas, ISCTE (INDEG)",10101,geral@iscte.pt,https://www.iscte-iul.pt/,http://iscte-iul.pt/cursos/licenciaturas/www.facebook.com/Ugo.iscteiul,43aca520-8611-4574-863e-e160aa8eae7d
46,POINT (-9.16493516750481 38.7487438286604),1463,3905602012001,,UCP | Católica (CATÓLICA LISBON School of  Business & Economics),"Caminho de Palma de Cima, U. Católica (Bloco 5)",10101,info@reitoria.ucp.pt,http://www.clsbe.lisboa.ucp.pt,http://www.clsbe.lisboa.ucp.pt/site/custom/template/fceetplhome2.asp?sspageID=2&lang=1,7176d713-367b-46e4-abfd-a7626b89131a
47,POINT (-9.16659129796935 38.7495689777631),1464,3905602027001,,UCP | Católica (FCH - Faculdade de Ciências Humanas),"Caminho de Palma de Cima, U. Católica (Blocos 1, 2, 3)",10101,direccaofch@fch.ucp.pt,http://www.fch.lisboa.ucp.pt,http://www.fch.lisboa.ucp.pt/site/custom/template/ucptpl_fachome.asp?sspageID=879&lang=1,bae8e40d-8c92-4580-bc73-19e105c53a3e
48,POINT (-9.16659129796935 38.7495689777631),1465,3905602027001,,UCP | Católica (Faculdade de Direito - Escola de Lisboa),"Caminho de Palma de Cima, U. Católica (Blocos 1, 2, 3)",10101,direccao.direito@fd.lisboa.ucp.pt,http://www.fd.lisboa.ucp.pt/,http://www.fd.lisboa.ucp.pt/site/custom/template/ucptplfachome.asp?sspageid=442&lang=1,8125fbf6-573c-4a33-8163-e3c495c5d1e0
49,POINT (-9.31863996958455 38.7155033814071),1466,,,Faculdade de Engenharia,Estrada de Octávio Pato 2635-631,10101,info@reitoria.ucp.pt,http://www.fe.ucp.pt,http://www.fe.lisboa.ucp.pt/site/custom/template/ucptpl_fachome.asp?sspageID=879&lang=1,642952c0-9337-4f57-a4a4-aeb2cfcaec76
50,POINT (-9.16659129796935 38.7495689777631),1467,3905602027001,,UCP | Católica (FT Lisboa - Faculdade de Teologia),"Caminho de Palma de Cima, U. Católica (Blocos 1, 2, 3)",10101,direccao@ft.lisboa.ucp.pt,http://www.ft.lisboa.ucp.pt,http://www.ft.lisboa.ucp.pt/site/custom/template/ucptpl_fachome.asp?sspageID=879&lang=1,f3330577-eb85-44c2-aee6-443deedce8bd
51,POINT (-9.16632217708328 38.7488057751973),1468,3905602004001,,UCP | Católica (ICS - Instituto de Ciências da Saúde),"Caminho de Palma de Cima, U. Católica (Bloco 4)",10101,saude@ics.lisboa.ucp.pt,htpp//www.ics.lisboa.ucp.pt,http://www.ics.lisboa.ucp.pt/site/custom/template/ucptpl_fachome.asp?sspageID=879&lang=1,bd424f6a-7b13-42cf-84cb-9dfb27a72b36
52,POINT (-9.16632217708328 38.7488057751973),1469,3905602004001,,UCP | Católica (Instituto de Estudos Políticos),"Caminho de Palma de Cima, U. Católica (Bloco 4)",10101,info.iep@iep.lisboa.ucp.pt,http//www.iep.lisboa.ucp.pt,http://www.iep.lisboa.ucp.pt/site/custom/template/ucptpl_fachome.asp?sspageID=879&lang=1,ac3fec46-d5ed-4bab-bf6a-238cf302c9e2
53,POINT (-9.16632217708328 38.7488057751973),1470,3905602004001,,UCP | Católica (ISDC - Instituto Superior de Direito Canónico),"Caminho de Palma de Cima, U. Católica (Bloco 4)",10101,isdc@isdc.lisboa.ucp.pt,http://www.isdc.lisboa.ucp.pt,http://www.isdc.lisboa.ucp.pt/site/custom/template/ucptpl_fachome.asp?sspageID=879&lang=1,31d8ab6c-60d1-47ff-a2e3-c8e1e205c94c
54,POINT (-9.14566347856055 38.7243178986538),1473,1401401118001,,Escola de Gestão e Negócios,"Rua de Santa Marta, 56",10101,http://www.egnegocios.ual.pt/contacte.aspx,http://www.egnegocios.ual.pt,http://www.facebook.com/pages/Escola-de-Gest%C3%A3o-e-Neg%C3%B3cios/122677434455765,84b7a82e-4b64-4fb8-b31f-c1242966140b
55,POINT (-9.19210051364904 38.6979758246608),1475,3201301022001,,ULL | Universidade LUSÍADA (ISSSL - Instituto Superior de Serviço Social de Lisboa),"Rua da Junqueira, 194-198",10101,info@lis.ulusiada.pt,http://www.lis.ulusiada.pt,http://www.facebook.com/pages/Instituto-Superior-de-Servi%C3%A7o-Social-da-Universidade-Lusiada-de-Lisboa/115529835129068,c9678e19-ff71-4837-aae1-fb1bb5ea5baf
56,POINT (-9.19210051364904 38.6979758246608),1476,3201301022001,,ULL | Universidade LUSÍADA (FCEE - Faculdade de Ciências da Economia e da Empresa),"Rua da Junqueira, 194-198",10101,info@lis.ulusiada.pt,http://www.lis.ulusiada.pt,http://www.facebook.com/UniversidadeLusiadaLisboa,957494f5-2653-4e96-99d9-3870c381f8da
57,POINT (-9.19210051364904 38.6979758246608),1477,3201301022001,,ULL | Universidade LUSÍADA (FCHS - Faculdade de Ciências Humanas e Sociais),"Rua da Junqueira, 194-198",10101,info@lis.ulusiada.pt,http://www.lis.ulusiada.pt/universidade,http://www.facebook.com/UniversidadeLusiadaLisboa,676c13fa-46d6-499f-97cc-0db64d0e165e
58,POINT (-9.19212698250889 38.6980260866587),1478,3201301022001,,ULL | Universidade LUSÍADA (FD - Faculdade de Direito),"Rua da Junqueira, 194-198",10101,info@lis.ulusiada.pt,http://www.lis.ulusiada.pt,http://www.facebook.com/pages/Faculdade-de-Direito-Universidade-Lus%C3%ADada-de-Lisboa/102075919834047,6e63da42-a7be-4823-a77b-778cde50e3c0
59,POINT (-9.15305457237654 38.7579844997678),1480,0901602002001,,Universidade LUSÓFONA (ECTS - Escola de Ciências e Tecnologias da Saúde),"Campo Grande, 376 (Edifício A)",10101,info@ulusofona.pt,http://www.ulusofona.pt,http://www.facebook.com/pages/Faculdade-de-Ci%C3%AAncia-Pol%C3%ADtica-Lusofonia-e-Rela%C3%A7%C3%B5es-Internacionais/198017250243487,4a79d404-6409-41f1-8ffc-bbf0233bc806
60,POINT (-9.15305457237654 38.7579844997678),1481,0901602002001,,"Universidade LUSÓFONA (FCSEA - Faculdade de Ciências Sociais, Educação e Administração)","Campo Grande, 376 (Edifício A)",10101,info@ulusofona.pt,http://www.ulusofona.pt,http://www.facebook.com/pages/FCSHLusofona/105975182776136,4c8ea6b7-c429-4f58-8877-787a599fcb70
61,POINT (-9.15305457237654 38.7579844997678),1482,0901602002001,,Universidade LUSÓFONA (FD - Faculdade de Direito),"Campo Grande, 376 (Edifício A)",10101,info@ulusofona.pt,http://www.ulusofona.pt,http://www.facebook.com/pages/Faculdade-de-Direito-da-Universidade-Lus%C3%B3fona-de-Humanidades-e-Tecnologias/167339480013995,0e7bedf4-c14c-468a-a4fe-502029fc50cb
62,POINT (-9.15305457237654 38.7579844997678),1483,0901602002001,,Universidade LUSÓFONA (ECEO - Escola de Ciências Económicas e das Organizações),"Campo Grande, 376 (Edifício A)",10101,info@ulusofona.pt,http://www.ulusofona.pt,http://www.facebook.com/pages/Faculdade-de-Economia-e-Gest%C3%A3o-Universidade-Lus%C3%B3fona/114080535270487,607b2e88-2808-4c57-b258-4cac4e5539cb
63,POINT (-9.15305457237654 38.7579844997678),1484,0901602002001,,Universidade LUSÓFONA (FEFD - Faculdade de Educação Física e Desporto),"Campo Grande, 376 (Edifício A)",10101,info@ulusofona.pt,http://www.ulusofona.pt,http://www.facebook.com/pages/Universidade-Lus%C3%B3fona-Faculdade-de-Educa%C3%A7%C3%A3o-F%C3%ADsica-e-Desporto/137994682897504,8b2ee5a2-1be3-4aba-b479-a01470bf991f
64,POINT (-9.15305457237654 38.7579844997678),1485,0901602002001,,Universidade LUSÓFONA (FE - Faculdade de Engenharia),"Campo Grande, 376 (Edifício A)",10101,info@ulusofona.pt,http://www.ulusofona.pt,http://www.facebook.com/pages/Faculdade-de-Engenharia-e-Ciencias-Naturais-Universidade-Lurio/200533286660200,25a700f9-e2df-4d12-a433-3c752321e770
65,POINT (-9.15305457237654 38.7579844997678),1486,0901602002001,,Universidade LUSÓFONA (FMV - Faculdade de Medicina Veterinária),"Campo Grande, 376 (Edifício A)",10101,info@ulusofona.pt,http://www.ulusofona.pt,http://www.facebook.com/pages/Faculdade-de-Medicina-Veterin%C3%A1ria-da-Univ-Lus%C3%B3fona/164242433620723,eac45ba0-385c-450c-9c3f-badfd199956c
66,POINT (-9.15305457237654 38.7579844997678),1487,0901602002001,,Universidade LUSÓFONA (EPCV - Escola de Psicologia e Ciências da Vida),"Campo Grande, 376 (Edifício A)",10101,info@ulusofona.pt,http://www.ulusofona.pt,http://www.facebook.com/pages/Faculdade-de-Psicologia-da-Universidade-Lus%C3%B3fona/339968182741513,7f2ac576-ab6d-4d85-8a80-e8b257b008df
67,POINT (-9.14688975258523 38.7374653516282),1489,2303702003001,,IPLisboa | ISCAL - Instituto Superior de Contabilidade e Administração de Lisboa,"Avenida Miguel Bombarda, 20-20C",10101,iscal@iscal.ipl.pt,http://www.iscal.ipl.pt,https://www.facebook.com/iscalisboa/,5608190e-94a8-48ab-8247-e4e7b5eb5c8f
68,POINT (-9.1166536665592 38.7561354974702),1490,2105204011001,,IPLisboa | ISEL - Instituto Superior de Engenharia de Lisboa,"Rua Conselheiro Emídio Navarro, ISEL",10101,isel@isel.pt,http://www.isel.pt,https://www.facebook.com/isel.pt/,520605c5-05c2-4bf2-afac-eebdb38391db
69,POINT (-9.19251199325315 38.7463970038608),1491,0806704055001,,IPLisboa | ESCS - Escola Superior de Comunicação Social,"Rua Carolina de Michaelis de Vasconcelos, Esc Sup de Com Social",10101,servicos_academicos@escs.ipl.pt,http://www.escs.ipl.pt,http://www.facebook.com/ESCSipl,d943b05f-385b-4b61-acb3-a4153b783d98
70,POINT (-9.11628277733122 38.7562439823163),1492,2105204011001,,IPLisboa | ESD - Escola Superior de Dança de Lisboa,"Rua Conselheiro Emídio Navarro, ISEL",10101, geral@esd.ipl.pt,http://www.esd.ipl.pt,http://pt-pt.facebook.com/pages/IPL-Escola-Superior-de-Dan%C3%A7a/115591731832231,faf28ddf-c530-4aab-8242-b451d15cd2b2
71,POINT (-9.19524809901351 38.7461475506632),1493,0806704007001,,IPLisboa | ESELx - Escola Superior de Educação de Lisboa,"Rua Carolina de Michaelis de Vasconcelos, Esc Sup Educação Lisboa",10101,eselx@eselx.ipl.pt,http://www.eselx.ipl.pt,http://www.facebook.com/eselisboa,6d0098d2-978a-4dc8-9314-ee749cc7a26f
72,POINT (-9.19676997176725 38.7462461593508),1494,0806704001001,,IPLisboa | ESML - Escola Superior de Música de Lisboa,"Campus de Benfica do Instituto Politécnico de Lisboa, Escola Superior de Musica",10101,esml@esml.ipl.pt,http://www.esm.ipl.pt,http://www.facebook.com/EscolaSuperiorDeMusicaDeLisboa,89812c89-938e-4387-8a7c-4c5efb9c417f
