,OBJECTID,COD_SIG,INF_NOME,INF_MORADA,FREGUESIA,INF_TELEFONE,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_ACTIVO,GlobalID,geometry
14,15,182,Centro de Documentação e Informação -  Instituto de Investigação Científica Tropical,Rua General João de Almeida 15 (IICT) R/C,Belém,+351 213 619 730,cdi@iict.pt,www2.iict.pt,"O acervo documental do Centro de Documentação e Informação (CDI) do Instituto de Investigação Científica Tropical (IICT) é vocacionado para a temática tropical, nomeadamente para os assuntos relativos aos Países de Língua Oficial Portuguesa, em todas as áreas do conhecimento, tais como, Ciências Agrárias, Ciências da Terra, Ciências de Engenharia Geográfica, Ciências Biológicas, Ciências Históricas, Económicas, Sociológicas e Ciências Etnológicas e Etnomuseológicas.O espólio do CDI é constituído por cerca de 40.000 monografias, 6.036 títulos de revistas e seriados, e ainda por uma cartoteca com mais de 5.000 títulos, totalizando mais de 12.000 folhas.O CDI encontra-se num período de informatização. A documentação posterior a 1990 está tratada informaticamente. As suas referências bibliográficas estão disponíveis em diversas bases de dados, segundo áreas geográficas correspondentes aos territórios ou países a que dizem respeito.Este Centro é destinado a dar apoio aos investigadores e técnicos do IICT, sendo contudo de livre acesso a toda a comunidade científica, universitária e ao público em geral.O IICT é um dos maiores editores científicos portugueses (monografias, revistas, cartas). As referências bibliográficas quer das monografias, quer dos artigos de monografias e revistas, estão disponíveis para consulta na base de dados Edições do IICT. Informações sobre o preço das publicações, podem ser obtidas nas Publicações Disponíveis.As publicações do IICT podem ser adquiridas directamente no CDI, e a sua encomenda poderá ser feita através do fax 21 362 82 18, telefone 21 361 97 30 ou pelo e-mail cdi@iict.pt. Também podem ser adquiridas na Imprensa Nacional, Casa da Moeda ou na Livraria Portugal.
",www2.iict.pt,1,187a4831-3b9d-4589-b382-117e65484a17,POINT (-9.20230339670971 38.7013829954969)
15,16,183,Centro de Documentação Instituto Apoio à Criança,Largo da Memória 14 R/C ,Ajuda,21 361 78 80,iac-sede@iacrianca.pt,www.iacrianca.pt,"Documentação nacional e internacional sobre problemas relativos à criança, na saúde, educação, segurança social e tempos livres.
","Turismo, www.iacrianca.pt",1,014b04b3-ebc7-4d06-a98e-a68b92e96107,POINT (-9.20130517655488 38.7029181052934)
16,17,184,Centro de Documentação e Informação da Inspecção-Geral da Educação,Avenida Vinte e Quatro de Julho 136 R/C,Estrela,21 392 48 00,ige@ige.min-edu.pt,www.ige.min-edu.pt,"Especializada em educação, auditoria e controlo educativo.
",www.ige.min-edu.pt,1,7988e515-b39f-4c24-8f03-7045faa033ff,POINT (-9.16566325729486 38.7037558806567)
17,18,185,DGIDC - Centro de Recursos da Educação Especial,"Avenida Vinte e Quatro de Julho, 140",Estrela,+351 213 934 532,deseease@dge.mec.pt,,,-,1,b4868a4c-0ee3-415f-97e9-21044daa801d,POINT (-9.16616434971879 38.7038197296986)
18,19,186,Arquivo Municipal de Lisboa | Videoteca,Largo do Calvário 2 R/C ,Alcântara,21 361 02 20,videoteca@cm-lisboa.pt,http://videoteca.cm-lisboa.pt,"Criada em 1991, a Videoteca centra-se atualmente em três áreas de intervenção: a recolha e a preservação de imagens em movimento relacionadas com a memória de Lisboa, a programação cinematográfica e a produção audiovisual de conteúdos sobre o património cultural da cidade. Disponibiliza um acervo aproximado de 5000 filmes e 20000 horas de imagens sobre Lisboa. No âmbito da produção cinematográfica destaca-se o Panorama- Mostra do Documentário Português e na vertente de produção audiovisual assinala-se a recente realização dos documentários: Ophiussa- Uma Cidade de Fernando Pessoa, Bairro Alto 500 Anos e Eduardo Gageiro - As coisas não são feitas por acaso.
",http://videoteca.cm-lisboa.pt,1,f4ab5415-e359-47a0-a150-51ce1c565f85,POINT (-9.17720594982239 38.7046284527914)
19,20,187,Biblioteca do Museu Nacional Etnologia,Avenida da Ilha da Madeira Museu Nacional de Etnologia R/C,Belém,21 304 11 60/9,mnetnologia.biblioteca@imc-ip.pt,www.mnetnologia-ipmuseus.pt,"O Museu Nacional de Etnologia foi criado em 1965, reúne mais de 26 000 peças representativas de diferentes culturas. Realce para as colecções notáveis de arte africana e de alfaias agrícolas e têxteis tradicionais de Portugal. A Biblioteca do Museu é especializada nas áreas da Museologia e Antropologia tendo como principais objectivos responder às necessidades e às prioridades da investigação museológica do MNE; valorizar o património documental do Museu nomeadamente através da aquisição e da organização dos fundos documentais nas áreas da sua especialidade; promover e garantir a conservação e preservação desse património; facilitar o acesso dos utilizadores (interno e externos) à documentação existente, no sentido de vir a ser um espaço privilegiado de interacção no acesso a fontes de informação nacionais e estrangeiras e um dos seus pólos dinamizadores. Reúne um acervo composto por 17 500 monografias, mais de 1 000 títulos de revistas e documentação multimédia.
Neste fundo bibliográfico está incorporada a importante Biblioteca particular de Margot e Jorge Dias, adquirida pelo MNE/Instituto Português de Museus.
Todo o acervo encontra-se ainda em processo de tratamento documental (classificação e indexação), mas está organizado de modo a permitir a sua consulta através da base de dados existente no próprio espaço da biblioteca (DocBase) e do livre acesso às estantes.A actualização dos fundos documentais é feita fundamentalmente através de Ofertas e Permutas com Museus de todo o mundo. Documentação sobre missões de estudo levadas a cabo pelo Instituto de Investigação Científica Tropical aos países de língua oficial portuguesa; museologia; revistas especializadas de Antropologia e minorias étnicas. ",www.mnetnologia-ipmuseus.pt,1,66a0d506-56c2-4a1e-b0ce-a87705d7e68b,POINT (-9.20882931062005 38.7048965913106)
20,21,188,Biblioteca Central do Instituto dos Museus e Conservação,Rua das Janelas Verdes 37 R/C,Estrela,21 393 42 00,,www.ipmuseus.pt,,www.ipmuseus.pt,1,3c72879b-5f19-49b3-87d9-394a0f0cdd71,POINT (-9.15975971953944 38.7057288986768)
21,22,189,Biblioteca da Revista Brotéria,Rua Maestro António Taborda 14 R/C,Estrela,21 396 16 60,geral@broteria.pt,www.broteria.pt,"Especializada em História da Companhia de Jesus. Áreas predominantes: História, Literatura, Filosofia e Teologia.
",www.broteria.pt,1,f0c98661-48b0-4dbc-bf74-d685f0804f89,POINT (-9.16648649407434 38.705715339192)
22,23,190,Centro de Documentação da Direcção-Geral dos Assuntos Europeus,Rua Cova da Moura 1 R/C,Estrela,21 393 55 00,dirdg@dgac.pt,www.mne.gov.pt/,"Centro de documentação especializado em assuntos europeus.
",www.mne.gov.pt,1,07493696-d636-49d1-8747-8f7400147c9a,POINT (-9.16801042525148 38.7057042808324)
23,24,191,"Serviço de Biblioteca, Documentação e Arquivo Histórico-Diplomático - Ministério dos Negócios Estran",Rua das Necessidades 19 R/C;,Estrela,21 394 63 05,,www.mne.gov.p,,www.mne.gov.p,1,7f4c4035-83e4-4257-9f3c-32f2a70271ab,POINT (-9.17038754439552 38.706005369564)
24,25,192,Centro de Informação Europeia Jacques Delors,"Palácio da Cova da Moura, Rua da Cova da Moura, 1 
1350-115 Lisboa",Misericórdia,+351 211 225 000,geral@ciejd.pt,http://www.ciejd.pt,"O seu objetivo é proporcionar o acesso e divulgar ao grande público informação sobre temas ligados à União Europeia, bem como a apoiar todo o tipo de iniciativas que contribuam para esses objectivos.

O Centro integrou em 2008 a Direção-Geral dos Assuntos Europeus (DGAE) do Ministério dos Negócios Estrangeiros

A Biblioteca Jacques Delors encontra-se no Edifício Caleidoscópio, Jardim do Campo Grande, 1700-090 Lisboa



",www.ciejd.pt,1,2f89d0b1-b298-478f-b7ba-45bcb12306e0,POINT (-9.14271670329495 38.706254459169)
25,26,193,Biblioteca e Centro de Documentação dos Prazeres,Rua Maestro António Taborda 49 2º,Estrela,21 396 90 77/8,,,"Áreas fundamentais de pesquisa: Lisboa, Educação, Direitos Humanos, Poesia e Literatura Infantil, entre outras. Aberta ao público em geral, funciona em regime de livre acesso à documentação e possibilita o empréstimo domiciliário.
",TURISMO/URL,1,40e5583c-d138-4163-b7a0-b276d3639249,POINT (-9.16702377272163 38.7068354938955)
26,27,194,Divisão de Doc. Min. Agri. Desenv. Rural e Pescas - MADRP	,Rua do Guarda-Jóias 52D R/C ,Ajuda,21 364 21 72,,http://portal.min-agricultura.pt,,Turismo,1,7342d8dc-cfeb-4f4d-83e5-5871fee035f3,POINT (-9.19483822853867 38.7068115293522)
27,28,195,Centro de Documentação do Museu da Marioneta,Rua da Esperança 146 R/C,Estrela,21 394 28 10,museudamarioneta@egeac.pt,www.museudamarioneta.pt,"O Museu da Marioneta possui uma Biblioteca, uma Mediateca e uma fototeca. A biblioteca é composta por livros de arte, teatro, cenografia, marionetas, encenação, biografias, os grandes autores da literatura russa e francesa. A Mediateca possui uma colecção de documentos de divulgação de companhias de marionetas nacionais e estrangeiras. A fototeca uma colecção de imagens de companhias de marionetas portuguesas e estrangeiras.
",www.museudamarioneta.pt/,1,fc7abd80-3f73-4b4a-865b-0d6f8638e3d1,POINT (-9.1556903057238 38.7080001246788)
28,29,196,Centro de Documentação Inf. Relações Públicas do Min. Cultura,Largo da Ajuda Palácio - ,Ajuda,21 361 45 00,gmc@mc.gov.pt,www.portaldacultura.gov.pt,,www.portaldacultura.gov.pt,1,eda419f6-d840-49e8-a715-70fb5e8f8b4e,POINT (-9.19772981910666 38.7076756501507)
29,30,197,Biblioteca Geral /Biblioteca de Arqueologia - IGESPAR,Largo da Ajuda Palácio,Ajuda,21 361 42 00/21 361 423 8/9,bibliotecageral@igespar.pt / bibliotecaarqueologia@igespar.pt,www.igespar.pt/pt,"Biblioteca Geral - Especializada em arquitectura/urbanismo, património e história. Possui também publicações direccionadas para as ciências sociais, a heráldica, a arqueologia e monografias. Biblioteca de Arqueologia - Possui o espólio do Instituto Português de Arqueologia.
",www.igespar.pt/pt,1,61c24a0c-6e10-462d-ac31-3870f3d23057,POINT (-9.19771832442768 38.7076757548166)
30,31,198,Biblioteca da Ajuda,Largo da Ajuda - Palácio Nacional da Ajuda,Ajuda,+351 213 638 592,bibajuda@pnajuda.dgpc.pt,http://bibliotecaajuda.bn.pt/index.htm,"A Biblioteca da Ajuda, uma das mais antigas Bibliotecas de Portugal, teve origem no século XV, como Biblioteca Real, e esteve instalada a partir do século XVI (?) no torreão poente do Paço da Ribeira. Foi substancialmente enriquecida por D. João V, mas perdeu a maior parte do seu riquíssimo espólio no terramoto de 1755, após o que se procedeu à sua reinstalação em casas anexas ao Paço de madeira (Real barraca), na Ajuda. Em 1811, na sequência das invasões francesas, foi transferida para o Rio de Janeiro, aí dando origem à atual Biblioteca Nacional. Em 1821 foi recuperada parte da sua coleção de manuscritos, à qual se incorporaram mais tarde as livrarias da Companhia de Jesus (São Roque e Colégio de Santo Antão), Congregação do Oratório e Palácio das Necessidades. Encontra-se localizada em ala própria do Palácio da Ajuda desde 1880, quando foram pintados a fresco, por José Pereira Júnior, os tetos decorados com trompe-l¿oeil que ainda se podem apreciar. A zona mais antiga da Biblioteca é composta por cinco salas, das quais três encontram-se abertas aos visitantes, destacando-se pelas suas dimensões, altura das estantes e galerias, e mobiliário da época. A Biblioteca da Ajuda detém um acervo bastante importante, o qual se traduz, em termos de extensão, por três quilómetros de prateleiras com um total de 105 000 espécimes manuscritos e impressos, como o Cancioneiro da Ajuda, o Livro de Traças de Carpintaria ou a obra Da fabrica que falece a cidade de Lisboa, de Francisco de Holanda. Aí está exposto igualmente um conjunto de peças e artefactos dos séculos XIII a XIX, da antiga oficina de encadernação da Biblioteca Real.","www.bnportugal.pt, Turismo, IGESPAR",1,1257dde1-d5af-4617-8a5b-4cda8fc43191,POINT (-9.19771832442768 38.7076757548166)
31,32,199,Biblioteca do Instituto Superior de Agronomia,Calçada da Tapada Biblioteca R/C ,Alcântara,21 365 35 06/07,infobisa@isa.utl.pt,www.isa.utl.pt/bisa,"Monografias (geral), monografias reservadas, relatórios de licenciatura, dissertações de mestrado, provas de aptidão pedagógica, teses de doutoramento, aulas de agregação, periódicos (ed. impressa e electrónica), material audio-visual e mapas.
",www.isa.utl.pt/bisa/,1,b85057e9-8425-45ba-a0ed-fcb9dbfc1a52,POINT (-9.18395935631697 38.7084677678955)
32,33,200,Biblioteca da Faculdade de Belas-Artes da Universidade de Lisboa,"Largo da Academia Nacional de Belas Artes, 2 ",Santa Maria Maior,(+351) 213 252 115,biblioteca@belasartes.ulisboa.pt,https://www.belasartes.ulisboa.pt,"A Biblioteca é especializada em Arte, nomeadamente: história de arte, crítica de arte e estética, desenho, pintura, escultura / instalação, gravura, medalhística, vidro/vitral, cerâmica, fotografia, cinema/vídeo, design de equipamento e de comunicação, arquitectura, geometria, banda desenhada, multimédia.
",www.fba.ul.pt,1,a1068c32-063d-4dbb-a5bd-ba32838289ed,POINT (-9.1405385079772 38.7088674040927)
33,34,201,Divisão de Documentação Fotográfica - Instituto Português de Museus,Calçada do Mirante à Ajuda 10A R/C ,Ajuda,21 361 71 20 ,ddf.@imc-ip.pt,www.ipmuseus.pt,"Dois bancos de imagens: o Arquivo Histórico de Fotografia Portuguesa (três milhões de imagens) e o Arquivo de Inventário Nacional de bens móveis pertencentes aos Museus Nacionais (60.000 imagens de obras de arte); máquinas e acessórios, mobiliário de estúdio para profissionais e amadores, bibliotecas e, ainda, registos comerciais dos fotógrafos. Acesso reservado a condições especiais.
","Turismo, www.iacrianca.pt",1,1fb0ccbc-d227-460c-9727-e5dd6c1fa3d1,POINT (-9.19744095522102 38.7086704600145)
34,35,202,Biblioteca do Instituto da Defesa Nacional,Calçada das Necessidades 5 R/C,Estrela,21 392 46 00,biblioteca@idn.mdn.gov.pt,http://idn.defesa.pt/,"Biblioteca especializada em Segurança, Defesa, Estratégia e Relações Internacionais.",http://idn.defesa.pt/,1,989667d9-b6e2-4234-8154-eac8a092f2a8,POINT (-9.16774021790248 38.7092259929679)
35,36,203,Biblioteca do Centro Nacional de Cultura,Rua António Maria Cardoso 68 1º,Santa Maria Maior,21 346 67 22,info@cnc.pt,www.cnc.pt/,,www.cnc.pt,1,6cf313a4-227a-427a-aadf-de266acb2b84,POINT (-9.14236419825004 38.7095631041694)
36,37,204,Biblioteca da  Cooperativa António Sérgio,Travessa do Moinho de Vento 4 R/C,Estrela,21 395 51 18,casa.antserg@cases.pt,www.inscoop.pt,"A biblioteca é especializada em Ecionomia Social e é de acesso público. Localiza-se na Casa de António Sérgio, edifício construído em 1925, segundo projecto do arq. Raúl Lino, ao estilo da casa portuguesa, esta residência unifamiliar, de planta quadrada e linhas simples, desenvolve-se em 3 pisos (2 andares e sotão). Em 1939 foi alterada por iniciativa de António Sérgio, notável pensador e ensaísta, que nela residiu entre 1926 e 1969. Estas modificações conferiram ao imóvel um carácter particular devido, essencialmente, ao predomínio de superfícies envidraçadas na fachada principal. Muito degradada após a sua morte, foi recuperada entre 1983 e 1988, com o objectivo de receber os serviços e as actividades organizadas pelo Instituto António Sérgio para o Sector Cooperativo - Inscoop. Este edifício está classificado como Imóvel de Interesse Público. 
",www.inscoop.pt,1,0d413094-38a0-4027-bc4d-bde30dfb15c6,POINT (-9.16336235940073 38.7098499827031)
37,38,205,Biblioteca Francisco Pereira de Moura - ISEG,Rua do Quelhas 6 R/C,Estrela,21 392 28 88,biblio@iseg.utl.pt,https://aquila.iseg.utl.pt/,"Documentação e publicações periódicas sobre Economia, Gestão e Administração, Ciências Sociais. Sistema de base de dados abrangendo 40.000 registos bibliográficos nestas áreas. Salas de leitura. Junto da biblioteca funciona o Centro de Documentação Europeia para apoio a estudantes e docentes.
",https://aquila.iseg.utl.pt/,1,96514183-1de6-430d-8ae6-e46abe15a1fb,POINT (-9.15493021276902 38.7099260544145)
38,39,206,Biblioteca Associação Portuguesa da Arte Fotográfica,Rua das Chagas 17 2º Dto,Misericórdia,21 346 76 59,secretaria.apaf@netcabo.pt,www.apaf.com.pt,"Biblioteca especializada em fotografia; possui livros de vários autores portugueses, estrangeiros, livros técnicos, catálogos de exposições e bienais, entre outros.
",www.apaf.com.pt,1,a6600d5e-ee6b-43d5-9721-77d00491ebba,POINT (-9.14555676389839 38.7102216402684)
39,40,207,Biblioteca e Centro de Documentação e Informação Português António Aragão,Rua do Meio à Lapa 75 R/C; Rua do Meio à Lapa 75A R/C Dto,Estrela,21 397 55 12,,,"Publicações sobra Arte, incidindo sobre as mais diversas áreas artísticas. A consulta interna, gratuita, só poderá ser efectuada mediante marcação prévia. O Centro exerce a sua actividade paralelamente com a Galeria de Arte da mesma associação e promove mensalmente um Homenagem a Um Grande Artista. 
",Turismo,1,8715e76b-2acc-43c8-8071-dbaa81128f71,POINT (-9.15867483997222 38.7102513247738)
40,41,208,Biblioteca e Centro de Documentação e Informação Português António Aragão,Rua do Meio à Lapa 75 R/C; Rua do Meio à Lapa 75A R/C Dto,Estrela,21 397 55 12,,,"Publicações sobra Arte, incidindo sobre as mais diversas áreas artísticas. A consulta interna, gratuita, só poderá ser efectuada mediante marcação prévia. O Centro exerce a sua actividade paralelamente com a Galeria de Arte da mesma associação e promove mensalmente um Homenagem a Um Grande Artista. 
",Turismo,1,3ffcd745-a7bb-4cb6-9ae3-0d436f7d2adc,POINT (-9.1587321126872 38.7102615237455)
